
2023/08/03 (10:19:18) | ===> btop++ v.1.2.13
2023/08/03 (10:19:18) | WARNING: Failed to set locale en_BG.UTF-8 continuing anyway.

2023/08/03 (19:02:57) | ===> btop++ v.1.2.13
2023/08/03 (19:02:57) | WARNING: Failed to set locale en_BG.UTF-8 continuing anyway.
2023/08/03 (19:02:57) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2023/08/03 (19:03:05) | ===> btop++ v.1.2.13
2023/08/03 (19:03:05) | WARNING: Failed to set locale en_BG.UTF-8 continuing anyway.

2023/09/05 (18:47:52) | ===> btop++ v.1.2.13
2023/09/05 (18:47:52) | WARNING: Failed to set locale en_BG.UTF-8 continuing anyway.

2023/09/11 (22:30:41) | ===> btop++ v.1.2.13
2023/09/11 (22:30:41) | WARNING: Failed to set locale en_BG.UTF-8 continuing anyway.

2023/09/12 (07:51:44) | ===> btop++ v.1.2.13
2023/09/12 (07:51:44) | WARNING: Failed to set locale en_BG.UTF-8 continuing anyway.

2023/09/13 (18:48:14) | ===> btop++ v.1.2.13
2023/09/13 (18:48:14) | WARNING: Failed to set locale en_BG.UTF-8 continuing anyway.
